src,key1,key2,sortorder,firstbook,firstchapter,firstverse
"Hebrew","<MWD/","NA","pmfd","Exodus","13","21"
"Hebrew","<MWN/","NA","pmfn","Genesis","19","38"
"Hebrew","<MWNJ/","NA","pmfnj","Deuteronomium","2","20"
"Hebrew","<MWQ/","NA","pmfs","Nehemia","12","7"
"Hebrew","<MWS/","NA","pmfo","Amos","1","1"
"Hebrew","<NB/","NA","pnb","Genesis","40","10"
"Hebrew","<NB=/","NA","pnb","Josua","11","21"
"Hebrew","<NC/","NA","pnu","Reges_II","23","33"
"Hebrew","<NC[","qal","pnu","Exodus","21","22"
"Hebrew","<ND[","qal","pnd","Iob","31","36"
"Hebrew","<NG/","NA","pnc","Deuteronomium","28","54"
"Hebrew","<NG=/","NA","pnc","Jesaia","13","22"
"Hebrew","<NG[","pual","pnc","Jeremia","6","2"
"Hebrew","<NH/","NA","pne","Exodus","21","10"
"Hebrew","<NH=/","NA","pne","Genesis","36","2"
"Hebrew","<NH===[","qal","pne","Ecclesiastes","1","13"
"Hebrew","<NH==[","qal","pne","Exodus","15","21"
"Hebrew","<NH=[","qal","pne","Jesaia","25","5"
"Hebrew","<NH[","qal","pne","Genesis","18","27"
"Hebrew","<NJ/","NA","pnj","Exodus","22","24"
"Hebrew","<NJ=/","NA","pnj","Genesis","16","11"
"Hebrew","<NJ==/","NA","pnj","Nehemia","12","9"
"Hebrew","<NJH/","NA","pnje","Nehemia","8","4"
"Hebrew","<NJM/","NA","pnjm","Josua","15","50"
"Hebrew","<NJN/","NA","pnjn","Ecclesiastes","1","13"
"Hebrew","<NM/","NA","pnm","Chronica_I","6","58"
"Hebrew","<NMJM/","NA","pnmjm","Genesis","10","13"
"Hebrew","<NMLK/","NA","pnmlk","Reges_II","17","31"
"Hebrew","<NN/","NA","pnn","Genesis","9","13"
"Hebrew","<NN=/","NA","pnn","Nehemia","10","27"
"Hebrew","<NNH/","NA","pnne","Jeremia","4","13"
"Hebrew","<NNJ/","NA","pnnj","Chronica_I","3","24"
